CAS_Number,logS,ID,CA_Number
,-7.8,Clc1ccc(c2ccc(c(Cl)c2)Cl)c(Cl)c1,32598-10-0
,-7.82,Clc(c(Cl)c2Cl)c(cc2Cl)c1ccc(Cl)c(Cl)c1,38380-08-4
,-7.92,Clc(c(Cl)c(Cl)c(Cl)c2Cl)c2c1ccccc1,18259-05-7
,-7.92,,52663-69-1
,-7.92,Cc(ccc2cc4c3ccc5c4cccc5)c1c2c3CC1,56-49-5
,-8,c3(ccc5c4cccc5)c4c1c2c(cccc23)ccc1,205-82-3
,-8.01,Clc1ccc(c2ccc(c(Cl)c2Cl)Cl)c(Cl)c1Cl,38380-07-3
,-8.19,,50-32-8
,-8.23,c23c4c1ccccc1c2cccc3c(cccc5)c5c4,205-99-2
,-8.4,FC(F)(F)c1cccc(C(c3ccccc3)(n4cncn4)c2ccccc2)c1,31251-03-3
,-8.56,Clc(cc(Cl)c(Cl)c2)c2c1cc(Cl)c(Cl)cc1Cl,35065-27-1
,-8.6,Clc(c(Cl)c2)c(c(Cl)c2Cl)c1c(Cl)c(Cl)ccc1,52704-70-8
,-8.71,Clc1cc(Cl)c(c2c(cc(cc2Cl)Cl)Cl)c(Cl)c1,33979-03-2
,-8.8,c14cccc2cccc(c3c5c(cccc45)ccc3)c12,198-55-0
,-8.94,,52712-05-7
,-9.15,Clc(c(Cl)cc(Cl)c2Cl)c2c1c(Cl)c(Cl)cc(Cl)c1Cl,2136-99-4
,-9.16,Clc1c(Cl)c(Cl)c(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c1,35694-08-7
,-11.62,Clc1c(c(Cl)c(c2c(c(Cl)c(c(Cl)c2Cl)Cl)Cl)c(Cl)c1Cl)Cl,2051-24-3
,1.13,CNC(N)=O,598-50-5
,1.07,O=C1CCCO1,96-48-0
,1.07,O=C1CCCN1,616-45-5
,1.06,C1COCCN1,110-91-8
,1.05,OC1COCC1,453-20-3
,1,CN1C(CCC1)=O,872-50-4
,0.96,OCc1cccnc1,100-55-0
,0.96,O=C(N)N,57-13-6
,0.96,C=CC(N)=O,79-06-1
,0.94,O=C(N(C)C)N(C)C,632-22-4
,0.84,CN(C)C,75-50-3
,0.79,CN1C(c2cccnc2)CCC1,54-11-5
,0.74,OC1OC(CO)C(O)C(O)C1O,50-99-7
,0.7,OCC(O)C(CO)O,149-32-6
,0.52,CC(OC)=O,79-20-9
,0.51,OC(C(O)=O)(CC(O)=O)CC(O)=O,77-92-9
,0.43,O=P(OCC)(OCC)OCC,78-40-0
,0.43,CC(O)CC,78-92-2
,0.38,O=C(O)C(O)=O,144-62-7
,0.38,Cc1cc(C)cnc1,591-22-0
,0.36,Cc(ccnc1)c1C,583-58-4
,0.32,NC(N)=S,62-56-6
,0.3,FC(F)(F)C(O)C,374-01-6
,0.06,Cc1nc(ncnc2)c2nc1,936-40-3
,0.01,CC(C(O)=O)=C,79-41-4
,0,CCCCO,71-36-3
,-0.02,NC(CCl)=O,79-07-2
,-0.04,CC(OCC)=O,141-78-6
,-0.06,COC(C)C,598-53-8
,-0.11,OC(CCl)CCl,96-23-1
,-0.14,O=C(OC)CC,554-12-1
,-0.17,Oc1ccc(O)cc1,123-31-9
,-0.22,OC(C(Cl)(Cl)Cl)P(OC)(OC)=O,52-68-6
,-0.24,CC(C)(C)OC,1634-04-4
,-0.35,NC(OCc1ccccc1)=O,621-84-1
,-0.36,Nc1nccs1,96-50-4
,-0.4,O=C1NC(CN1)=O,461-72-3
,-0.4,O=C(NC1=O)C(N1)=O,120-89-8
,-0.4,CC(C)(C)CO,75-84-3
,-0.4,OC(c1ccc(N)cc1)=O,150-13-0
,-0.41,Nc1ccccc1,62-53-3
,-0.41,CC(C)(O)C(C)C,594-60-5
,-0.42,CCCCOCCO,111-76-2
,-0.43,CC(OCC)OCC,105-57-7
,-0.43,OC(CCI)=O,141-76-4
,-0.46,CCCNCCC,142-84-7
,-0.47,CC(CO)CC,137-32-6
,-0.48,O=C(c1ccco1)O,88-14-2
,-0.49,CC(C)(O)CCC,590-36-3
,-0.52,CC(C)CCO,123-51-3
,-0.55,CC(OC(C)C)=O,108-21-4
,-0.55,CCOC(C)C,625-54-7
,-0.6,CCS,75-08-1
,-0.6,CCCCCO,71-41-0
,-0.62,CC(C)N(=O)=O,79-46-9
,-0.62,,83-07-8
,-0.62,Oc1ccccc1C,95-48-7
,-0.71,S=C1NCCN1,96-45-7
,-0.74,OCCc1ccccc1,60-12-8
,-0.8,O=N(=O)CCC,108-03-2
,-0.8,CC(C)CC(O)C,108-11-2
,-0.8,CC(CCCC)=O,591-78-6
,-0.81,O=C(O)C(CC)CC,88-09-5
,-0.82,OC(CCCCC(O)=O)=O,124-04-9
,-0.83,O=C1CNC(CN1)=O,106-57-0
,-0.85,CN(C(OC1=CC(CC(C)(C1)C)=O)=O)C,122-15-6
,-0.85,Cc1c(N)cccc1,95-53-4
,-0.85,CC(C)C(O)(C)CC,595-41-5
,-0.89,CC(O)(C)C(C)CC,4911-70-0
,-0.89,CC(O)CCCC,626-93-7
,-0.91,NC(c1cnccn1)=O,98-96-4
,-0.93,OC(C(CO)c1ccccc1)=O,552-63-6
,-0.94,CC(CCCC1)C1=O,583-60-8
,-0.95,NC(NCc1ccccc1)=O,538-32-9
,-0.95,CN(c1ccccc1)C(C)=O,579-10-2
,-0.96,NC(N(N=O)CC)=O,759-73-9
,-1,N#Cc1ccccc1,100-47-0
,-1.01,Oc1cccc(N(=O)=O)c1,554-84-7
,-1.04,CCC(C)(C)CO,1185-33-7
,-1.06,ClCCCl,107-06-2
,-1.06,CC(CC(C)=CC1=O)(C1)C,78-59-1
,-1.06,Oc1ccccc1Cl,95-57-8
,-1.06,CCCCCC(O)=O,142-62-1
,-1.1,CCCCCCN,111-26-2
,-1.11,CC(CO)CCC,105-30-6
,-1.12,ClCCOCCCl,111-44-4
,-1.15,OC(CC)C(C)(C)C,3970-62-5
,-1.16,O=C(c1cc(O)c(O)c(O)c1)O,149-91-7
,-1.17,C(Br)(Br),74-95-3
,-1.2,Cc1cc(O)c(cccc2)c2n1,607-67-0
,-1.21,Nc1ccc(C)cc1,106-49-0
,-1.23,Oc1ncnc2c1ncn2C3C(O)C(O)C(CO)O3,58-63-9
,-1.24,O=C(c(cc1O)cc(O)c1O)OC,99-24-1
,-1.26,OCCn1c(N(=O)=O)cnc1C,443-48-1
,-1.26,O=C(NC(C)=C1)NC1=O,626-48-2
,-1.28,Cc1cc(N)nc(C)n1,461-98-3
,-1.28,CNc1ccccc1,100-61-8
,-1.3,CCCC(CCC)=O,123-19-3
,-1.3,ClC=CCl,156-59-2
,-1.31,Cc1c(O)c(C)ccc1,576-26-1
,-1.32,BrC=CBr,590-12-5
,-1.34,CCCOC(C)C,627-08-7
,-1.35,CNC(NCCSCc1c(C)[nH]cn1)=NC#N,51481-61-9
,-1.36,C=CCCl,107-05-1
,-1.36,Nc1ccc(cc1)S(N)(=O)=O,63-74-1
,-1.39,O=C(O2)c1ccccc1C2=O,85-44-9
,-1.41,Cc(cc(O)cc1)c1C,95-65-8
,-1.41,CC(Cl)C,75-29-6
,-1.41,Oc1ccc(C(O)=O)cc1,99-96-7
,-1.42,CC1(C)C(C(O)=O)CCC1(C)C(O)=O,124-83-4
,-1.42,CN(C2C1CC5C(C(c4c(C5(O)C)cccc4O)=O)=C(C1(C(C(C(NCN3CCCC3)=O)=C2O)=O)O)O)C,751-97-3
,-1.42,CC(CC(C)C)=O,108-10-1
,-1.45,O=C(C1CCCCC1)O,98-89-5
,-1.46,S=C(NCC)NCC,105-55-5
,-1.47,NC(OCCCCC)=O,638-42-6
,-1.47,FC(F)(c1cc(N)ccc1)F,98-16-8
,-1.47,CCC(O)CCCC,589-82-2
,-1.48,O=C(NC=C1)NC1=O,66-22-8
,-1.5,C=CCBr,106-95-6
,-1.5,c12ccccc1scn2,95-16-9
,-1.5,CCCC1NCCCC1,458-88-8
,-1.52,Clc(cccc1)c1N,95-51-2
,-1.52,O=C1C(C)=CNC(N1)=O,65-71-4
,-1.54,BrC(Cl)Cl,75-27-4
,-1.56,NS(=O)(c1ccccc1)=O,98-10-2
,-1.59,CC(Br)C,75-26-3
,-1.6,NC(NC(C(N1)=O)NC1=O)=O,97-59-6
,-1.6,CCI,75-03-6
,-1.6,CCC(C)(O)CCCC,5582-82-1
,-1.6,OC(C(N)Cc1ccc(O)c(O)c1)=O,59-92-7
,-1.61,CC(c1ccc(N)cc1)=O,99-92-3
,-1.63,CC(CC(C(C)(C)C)=O)=O,7307-04-2
,-1.64,C#CCCC,627-19-0
,-1.66,O=C(OC)NS(c1ccc(N)cc1)(=O)=O,3337-71-1
,-1.66,O=C(OC)c1ccccc1C(OC)=O,131-11-3
,-1.68,O=C(c1ccccc1)NCC(O)=O,495-69-2
,-1.71,NCC(CC)CCCC,104-75-6
,-1.83,,16118-49-3
,-1.84,C12OC(C(Cl)(Cl)Cl)OC1(C(C(O2)C(O)(CO))O),15879-93-3
,-1.85,CCCCCCCN,111-68-2
,-1.85,O=C(OC)c1ccccc1,93-58-3
,-1.85,CC(CC2C1(C)C)(CC2)C1=O,4695-62-9
,-1.85,ClCCCBr,109-70-6
,-1.87,C=CC=C,106-99-0
,-1.89,O=C2C=Cc1ccccc1O2,91-64-5
,-1.89,O=C(c(cccc1)c1Cl)O,118-91-2
,-1.91,O=N(c(cccc1)c1NC(C)=O)=O,552-32-9
,-1.92,ClC(CCl)CCl,96-18-4
,-1.92,Nc2cccc1ccccc12,134-32-7
,-1.94,Cc2nc1ccccc1c(C)c2,1198-37-4
,-1.95,Nc1ncnc2c1ccn2C3OC(CO)C(C3O)O,69-33-0
,-1.96,Cc2nc1ccccc1[nH]2,615-15-6
,-1.96,COc(cccc1)c1O,90-05-1
,-1.96,C(Cl)=C(Cl)Cl,79-01-6
,-1.97,Fc1ccc(F)cc1,540-36-3
,-1.99,CC(C)=CCCC(C)(O)C=C,78-70-6
,-1.99,O=S(NC(N)=N)(c(cc1)ccc1N)=O,57-67-0
,-1.99,O=C(CC(CC2)C1(C)C)C12C,76-22-2
,-2,CCCCCC(OC)=O,106-70-7
,-2,CC(CCl)C,513-36-0
,-2,Fc1cc(F)ccc1,372-18-9
,-2.03,C=C(C=C)C,78-79-5
,-2.05,Oc1c(OC)cc(C(O)=O)cc1,121-34-6
,-2.06,CC(C)=CCCC(C)=CC=O,5392-40-5
,-2.06,O=C(N1)NC(C(CC=C)(CC=C)C1=O)=O,52-43-7
,-2.07,Cc1cccc3c1n2cnnc2S3,41814-78-2
,-2.08,BrCCCBr,109-64-8
,-2.08,CNC(ON=C1C2C(C#N)CC(C2)C1Cl)=O,15271-41-7
,-2.09,CCSCc1ccccc1OC(NC)=O,29973-13-5
,-2.1,Nc1ncc(Cc2cc(OC)c(OCCOC)c(OC)c2)c(N)n1,53808-87-0
,-2.1,C1=CCCC1,142-29-0
,-2.11,OC(C(CO)NC(C(Cl)Cl)=O)c1ccc(N(=O)=O)cc1,56-75-7
,-2.15,S=C(NC(CCC)=C1)NC1=O,51-52-5
,-2.15,CC(Br)CBr,78-75-1
,-2.16,c1(cccc2)c2[nH]nc1,271-44-3
,-2.18,O=C1CC(C(C)=C)CCC1C,619-02-3
,-2.18,CCCCS,109-79-5
,-2.21,Clc(cc(Cl)c(O)c1)c1Cl,95-95-4
,-1.99,OC1(C2(C(NC(NC2=O)=O)=O)O)C(NC(NC1=O)=O)=O,76-24-4
,-2.23,CN1C2CCC1C(C(OC)=O)C(OC(c3ccccc3)=O)C2,50-36-2
,-2.27,O=C(c1ccccc1)NC(c2ccccc2)=O,614-28-8
,-2.27,Cc1cc(C)nc(NS(=O)(c2ccc(N)cc2)=O)n1,57-68-1
,-2.28,CCCN(CCC)CCC,102-69-2
,-2.28,O=C(c1c(c(cccc2)c2C(O)=O)cccc1)O,482-05-3
,-2.29,O=C(O)COc1ccc(Cl)cc1,122-88-3
,-2.29,c12c(nc[nH]2)N=CNC1=O,68-94-0
,-2.3,BrC1CCCCC1,108-85-0
,-2.3,Nc2ccc(cc2)Cc1ccc(N)cc1,101-77-9
,-2.31,CCCCCC(OCC)=O,123-66-0
,-2.33,O=N(c(cccc1)c1C)=O,88-72-2
,-2.33,CCOc1ccccc1,103-73-1
,-2.34,,22259-30-9
,-2.36,,2032-59-9
,-2.36,CC(Nc1nnc(S(N)(=O)=O)s1)=O,59-66-5
,-2.37,Nc1ccc(N(=O)=O)cc1,100-01-6
,-2.38,Fc1c(F)cc(F)c(F)c1,327-54-8
,-2.39,Cc1cscc1,616-44-4
,-2.39,CCCCCCCCO,111-87-5
,-2.4,COc2c1occc1c(c3c2OC(C)=CC3=O)OC,82-02-0
,-2.41,CC(C)(c1ccc(O)cc1)C,98-54-4
,-2.42,Oc1c(nccc2)c2ccc1,148-24-3
,-2.46,CC(OCCCCCC)=O,142-92-7
,-2.49,CC1CCC(C(C)C)C(C1)=O,14073-97-3
,-2.49,Cc1ccc(N(=O)=O)cc1,99-99-0
,-2.51,CC(C)(Cl)CC,594-36-5
,-2.52,OC(c2ccccc2)Cc1ccccc1,614-29-9
,-2.53,CC(C(CCC(C)C1)C1O)C,89-78-1
,-2.54,ClC(Cl)=C(Cl)Cl,127-18-4
,-2.55,Brc1ccccc1,108-86-1
,-2.55,,91-01-0
,-2.57,O=C(N(OC)C)Nc1ccc(Cl)cc1,1746-81-2
,-2.57,NC(CC)Cc2c[nH]c1ccccc12,2235-90-7
,-2.57,,60-18-4
,-2.59,Oc1c(ccc(O)c1)CCCCCC,136-77-6
,-2.59,CCCCC(CCCC)=O,502-56-7
,-2.6,CC(C(N(Cl)C1=O)=O)(N1Cl)C,118-52-5
,-2.6,Cc1ccc(C(O)=O)cc1,99-94-5
,-2.61,O=C2NC(c1ccccc12)=O,85-41-6
,-2.63,OC(C(CC3CC4)N4CC3CC)c1ccnc2c1cccc2,485-65-4
,-2.63,ClC(CC)CC,616-20-6
,-2.64,O=C(N1)NC(C(CC)(C3=CC2CCC(C3)C2)C1=O)=O,3625-25-0
,-2.64,,125-33-7
,-2.67,O=C(c1ccccc1)OCCC,2315-68-6
,-2.68,ClC(Cl)C(N2)Nc1cc(Cl)c(S(N)(=O)=O)cc1S2(=O)=O,133-67-5
,-2.68,BrC(CC)(CC)C(NC(N)=O)=O,77-65-6
,-2.7,OC(C1)(COc3c2ccc(O)c3O)C2=C(C=C4O)C1=CC4=O,475-25-2
,-2.7,O=S(Nc1ccccn1)(c2ccc(N)cc2)=O,144-83-2
,-2.71,S=C1C=Nc(cncn2)c2N1,81451-15-2
,-2.75,CCCCCCCCN,111-86-4
,-2.77,CCc1ccccc1,100-41-4
,-2.77,Cc1ccc(C)cc1,106-42-3
,-2.78,O=C2c3c(ccc(O)c3O)C(c1ccccc12)=O,72-48-0
,-2.78,Ic1ccccc1,591-50-4
,-2.8,OC(c1ccc(N(=O)=O)cc1)=O,62-23-7
,-2.82,Cc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,599-88-2
,-2.82,CC(c2ccc(O)cc2)(C)c1ccc(O)cc1,80-05-7
,-2.82,C=Cc1ccccc1,100-42-5
,-2.85,OC(c2ccccc2)C(c1ccccc1)=O,579-44-2
,-2.86,Clc(cc1C)ccc1N=CN(C)C,6164-98-3
,-2.88,CNc(cccc1)c1C(O)=O,119-68-6
,-2.92,c1(NNc2ccccc2)ccccc1,122-66-7
,-2.96,O=C(O)COc(cc(Cl)c(Cl)c1)c1Cl,93-76-5
,-2.97,O=C1CCC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,50-23-7
,-2.98,CCN1C=C(C(c2c1nc(N3CCNCC3)nc2)=O)C(O)=O,51940-44-4
,-2.99,O=C1C=CC2(C)C(C(C)CC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,83-43-2
,-3.03,O=S(NC(NCCC)=O)(c1ccc(Cl)cc1)=O,94-20-2
,-3.03,O=C(C(C)=C1)c(cccc2)c2C1=O,58-27-5
,-3.04,ClC(F)(F)C(Cl)(Cl)F,76-13-1
,-3.04,Clc1cc(Cl)ccc1,541-73-1
,-3.04,,496-11-7
,-3.08,CC(Nc1ccc(Br)cc1)=O,103-88-8
,-3.08,Cc1ccc(Cl)cc1,106-43-4
,-3.08,O=C(O)Cc(c(Cl)ccc1Cl)c1Cl,85-34-7
,-3.1,C1CCCCC1,110-82-7
,-3.12,O=C(c2ccccc2)c1ccccc1,119-61-9
,-3.12,O=C1N(c2ccccc2)N=CC(N)=C1Br,3042-84-0
,-3.16,O=C(c(cccc1)c1O)OCCC(C)C,87-20-7
,-3.17,CCCCCCCCC=O,124-19-6
,-3.19,Brc1ccc(C)cc1,106-38-7
,-3.19,Brc(cccc1)c1Cl,694-80-4
,-3.21,CC(CC=CC=CC=CC=CC(OC4OC(C)C(O)C(N)C4O)CC(C(C(O)=O)C(O)C3)OC3(O)CC(O)CC(O2)C2C=C1)OC1=O,7681-93-8
,-3.21,O=C1C=CC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1,50-24-8
,-3.22,O=C(NCC2)N2c1ncc(N(=O)=O)s1,61-57-4
,-3.24,CC(C)CC=C,691-37-2
,-3.27,Clc1ccc(Cl)cc1,106-46-7
,-3.27,CC(CCC1C(N(c3ccccc3)N(c2ccccc2)C1=O)=O)=O,853-34-9
,-3.28,Oc1c(c2c(cc1)CC3(C45))OC(C24CCN3C)(C(C=C5)O),57-27-2
,-3.29,CCC2NC(c1cc(S(N)(=O)=O)c(cc1N2)Cl)=O,73-49-4
,-3.3,CCCCCCCCOC(N)=O,2029-64-3
,-3.35,O=C(SCCC)N(CCCC)CC,1114-71-2
,-3.38,CC(c(cc(N(=O)=O)cc1N(=O)=O)c1O)CC,88-85-7
,-3.38,O=C(OC(C)C)Nc1cccc(Cl)c1,101-21-3
,-3.39,O=C(OCC)CCCCCCC,106-32-1
,-3.4,O=C(SCC)N(C1CCCCC1)CC,1134-23-2
,-3.46,,94-62-2
,-3.46,Ic1c([nH]c(I)c1I)I,87-58-1
,-3.54,Brc1cc(Br)ccc1,108-36-1
,-3.54,,34123-59-6
,-3.55,O=C(O)CCCCCCCCCC,112-37-8
,-3.59,OC(CC1CCC2C3CC4)CCC1(C)C2C(O)CC3(C)C4=O,514-17-0
,-3.62,Oc(c(O)c3)ccc3C2CC(c1c(O)cc(O)cc1O2)=O,552-58-9
,-3.66,COc1c(OC3=O)c(C=C3)cc2c1occ2,298-81-7
,-3.66,,548-00-5
,-3.66,O=C(c(cc(S(N)(=O)=O)c(Cl)c2)c2NCc1ccco1)O,54-31-9
,-3.66,CC(C)(c1ccccc1)C,98-06-6
,-3.67,c12ccccc1nc3c(cccc3)c2,260-94-6
,-3.68,CC(CC)CC,96-14-0
,-3.68,O=C(SCC)N(CC(C)C)CC(C)C,2008-41-5
,-3.68,S=P(OC)(OC)Oc1ccc(N(=O)=O)cc1,298-00-0
,-3.68,Nc1ccc(c3nc2ccc(C)cc2s3)cc1,92-36-4
,-3.7,CCCCOc2cc(C(NCCN(CC)CC)=O)c1ccccc1n2,85-79-0
,-3.7,Cc1c(cccc2)c2ccc1,90-12-0
,-3.74,O=S(Nc1nnc(C(C)(C)C)s1)(c2ccc(cc2)N)=O,535-65-9
,-3.75,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4C(CO)=O)=C1,64-85-7
,-3.76,Clc1nc(C(Cl)(Cl)Cl)ccc1,1929-82-4
,-3.77,CC(c1ccc(C)cc1)C,99-87-6
,-3.77,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(O)C(CO)=O)=C1,378-44-9
,-3.78,Cc1c(C)c(Nc2c(C(O)=O)cccc2)ccc1,61-68-7
,-3.8,O=C2CN=C(c3ccccc3)c1cc(N(=O)=O)ccc1N2,146-22-5
,-3.8,O=C(OCC)CCCCCCCC,123-29-5
,-3.8,,514-10-3
,-3.8,Cc1cc(S(=O)(c2ccccc2)=O)ccc1NS(=O)(C(F)(F)F)=O,37924-13-3
,-3.82,CCCCC=CC,14686-13-6
,-3.84,CCCCCC,110-54-3
,-3.85,C1C(=O)C=C2CCC3C4CCC(C(=O)CO)C4(C5O)CC(O5)C3C2(C)C1,52-39-1
,-3.85,CC1CCCCC1,108-87-2
,-3.88,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,31431-39-7
,-3.89,CC(CC(c1ccccc1)C(C2=O)=C(c(cccc3)c3O2)O)=O,81-81-2
,-3.9,S=C(SSC(N(C)C)=S)N(C)C,137-26-8
,-3.9,CC(N(C(Nc1ccc(Cl)cc1)=O)C)C#C,3766-60-7
,-3.94,CN2c1ccccc1Sc3c2cc(CC(O)=O)cc3,13993-65-2
,-3.95,OC1CCC2(C)C(CCC3C2CC(O)C4(C)C3CCC4C(C)CCC(O)=O)C1,83-44-3
,-3.96,,101-84-8
,-3.99,CCCCCCCCl,629-06-1
,-3.99,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(C)O)=C1,58-18-4
,-4,Cc(c(C)cc(C)c1C)c1C,700-12-9
,-4,,50-04-4
,-4,Clc(c(Cl)ccc1)c1Cl,87-61-6
,-4.04,S=P(OC)(OC)Oc1cc(C)c(N(=O)=O)cc1,122-14-5
,-4.06,CCCCc1ccccc1,104-51-8
,-4.07,Brc1ccc(Br)cc1,106-37-6
,-4.1,CC(C)Nc1nc(NC(C)C)nc(SC)n1,7287-19-6
,-4.11,S=P(OCC)(OCC)SCSCC,298-02-2
,-4.11,COc2ccc1C(C3N(CCc5c3cc4OCOc4c5)C)OC(c1c2OC)=O,118-08-1
,-4.13,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(OC(C)=O)C4(O)C(COC(C)=O)=O)=C1,67-78-7
,-4.15,C1CCCCCCC1,292-64-8
,-4.16,CN2S(c1ccccc1C(O)=C2C(Nc3ncccc3)=O)(=O)=O,36322-90-4
,-4.17,OC(c1cccnc1Nc2cccc(C(F)(F)F)c2)=O,4394-00-7
,-4.23,ClC(=C(C=C(Cl)Cl)Cl)Cl,55880-77-8
,-4.26,CC(N(C)C)CN1c3c(cccc3)Sc2c1cccc2,60-87-7
,-4.28,O=C1CCC2(C)C(CC(SC(C)=O)C3C2CCC4(C)C3CCC45OC(CC5)=O)=C1,52-01-7
,-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,87-86-5
,-4.29,,128-13-2
,-4.29,CCc1cc(cccc2)c2cc1,939-27-5
,-4.3,Oc1cc(CCC3C2CCC4(C)C3CCC4(C#C)O)c2cc1,57-63-6
,-4.3,CN(C)CCCN1c3c(cccc3)Sc2c1cccc2,58-40-2
,-4.31,COP(OC)(Oc1c(Cl)cc(N(=O)=O)cc1)=S,2463-84-5
,-4.32,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC5C4(OC(C)(C)O5)C(CO)=O)=C1,76-25-5
,-4.38,c1(cccc3)c3sc2c1cccc2,132-65-0
,-4.38,OC(c2c(Cl)cccc2)(c3cncnc3)c1ccc(Cl)cc1,60168-88-9
,-4.42,O=C(C(c(cc(OC)c(OC)c4)c4OC3)C3O2)c1c2c(CC(C(C)=C)O5)c5cc1,83-79-4
,-4.43,,5635-50-7
,-4.43,O=C(CCCN2CCC(c3ccc(Cl)cc3)(O)CC2)c1ccc(F)cc1,52-86-8
,-4.43,CCCCCCCBr,629-04-9
,-4.46,,50-48-6
,-4.47,O=N(c(c(C)c1N(=O)=O)c(c(C(C)(C)C)c1)OC(C)=O)=O,2487-01-6
,-4.48,Clc1cc(Cl)cc(Cl)c1,108-70-3
,-4.48,CC1(CC(C)CC1)C,4516-69-2
,-4.52,FC(F)(F)c4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(C)CC2,117-89-5
,-4.53,,5836-10-2
,-4.57,S=P(OC)(OC)Oc1cc(C)c(SC)cc1,55-38-9
,-4.58,CC2(C=C3)C(C(O)C1)C(CCC2=CC3=O)C(CC4)C1(C)C4(O)C(COC(C(C)(C)C)=O)=O,1107-99-9
,-4.61,O=C1c(cccc2)c2N=C(c3ccccc3)O1,1022-46-4
,-4.62,c1(CCc2ccccc2)ccccc1,103-29-7
,-4.63,CC(C2C(COC(C)=O)=O)(CC1)C(CC2)C(CCC3=CC4=O)C1C3(CC4)C,56-47-3
,-4.65,OC(C4)CCC1(C)C4=CCC2C1CCC3(C)C2CCC3C(C)=O,145-13-1
,-4.72,Cc1cc(cccc2)c2cc1C,581-40-8
,-4.73,Oc2c3c(cccc3)cc1ccccc12,529-86-2
,-4.79,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,51-98-9
,-4.82,Clc1cc(Cl)c(OP(OC)(OC)=S)nc1Cl,5598-13-0
,-4.84,CC34CCC2c1c(CCC2C3CCC4O)cc(O)cc1,57-91-0
,-4.88,O=C(SCC(Cl)=C(Cl)Cl)N(C(C)C)C(C)C,2303-17-5
,-4.89,,1982-47-4
,-4.89,Cc2cc1ccc(C)cc1cc2,581-42-0
,-4.91,ClC(C(Cl)=C(Cl)Cl)=C(Cl)Cl,87-68-3
,-5.16,NS(c1cc(N(=O)=O)c(N(CCC)CCC)c(N(=O)=O)c1)(=O)=O,19044-88-3
,-5.2,Clc1ccc(c2ccccc2)cc1,2051-62-9
,-5.21,CCCCCCc1ccccc1,1077-16-3
,-5.24,Oc1cc(ccc3c2CCC4(C)C3CCC4=O)c2cc1,517-09-9
,-5.24,,26002-80-2
,-5.26,c1(c(cccc3)c3cc2)c2cccc1,85-01-8
,-5.38,CC(c1c(O2)cc(OP(OCC)(OCC)=S)cc1)=C(C2=O)Cl,56-72-4
,-5.46,OC1C=CC2C1C3(C(Cl)=C(C2(C3(Cl)Cl)Cl)Cl)Cl,#2597-11-7
,-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1897-45-6
,-5.68,O=N(=O)c1cc(C(F)(F)F)cc(N(=O)=O)c1N(CCC)CCC,1582-09-8
,-5.74,S=P(OCC)(OCC)SCSc1ccc(Cl)cc1,786-19-6
,-5.8,Clc1cccc(c2cc(Cl)ccc2)c1,2050-67-1
,-5.89,Cc1c(cccc3)c3cc2c1cccc2,779-02-2
,-5.96,c12c3c4ccc1CCCc2ccc3CCC4,1732-13-4
,-6.02,Clc1cc(c2ccccc2Cl)c(Cl)cc1,37680-65-2
,-6.09,S=P(OC)(OC)Oc(cc(Cl)c(Br)c1)c1Cl,2104-96-3
,-6.18,ClC1(C2C4C5C(O5)C(C4)C23)C(Cl)=C(Cl)C3(Cl)C1(Cl)Cl,72-20-8
,-6.21,Clc1ccc(c2ccc(cc2Cl)Cl)cc1,7012-37-5
,-6.29,ClC(C(Cl)=C1Cl)(C2C(O4)C4C(Cl)C23)C(Cl)(Cl)C13Cl,1024-57-3
,-6.29,,52645-53-1
,-6.29,Clc1ccc(Cl)c(c2ccccc2)c1Cl,55702-45-9
,-6.32,ClC1(C(Cl)=C2Cl)C(C3Cl)C(C=C3)C2(Cl)C1(Cl)Cl,76-44-8
,-6.51,Clc(cc(Cl)cc2)c2c1ccc(Cl)cc1Cl,2437-79-8
,-6.62,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c(cccc2)c2Cl,789-02-6
,-6.7,O=P(Oc1ccc(O)cc1C)(Oc2cc(O)ccc2C)Oc3c(O)cccc3C,1330-78-5
,-6.81,CCCCCCCCCCCCCCCC(O)=O,57-10-3
,-6.89,ClC(Cl)(Cl)C(c2ccc(OC)cc2)c1ccc(OC)cc1,72-43-5
,-6.96,O=C(OCC(CC)CCCC)c1ccccc1C(OCC(CC)CCCC)=O,117-81-7
